data,var,media,contagem,maximo,minimo,mediana,desvio_padrao,variancia,moda
2017-03-21 00:00:10.123,duration_(secs),2093.0,1,2093.0,2093.0,2093.0,,,2093.0
2017-03-21 00:00:10.123,duration_(secs),2084.5,2,2093.0,2076.0,2084.5,12.020815280171307,144.5,2076.0
2017-03-21 00:00:41.574,duration_(secs),1949.6666666666667,3,2093.0,1680.0,2076.0,233.6928183178365,54612.333333333336,1680.0
2017-03-21 00:00:41.574,duration_(secs),1952.25,4,2093.0,1680.0,2018.0,190.87932488005782,36434.916666666664,1680.0
2017-03-21 00:00:42.618,duration_(secs),1998.8,5,2185.0,1680.0,2076.0,195.3476388390707,38160.7,1680.0
2017-03-21 00:00:42.618,duration_(secs),2429.8333333333335,6,4585.0,1680.0,2084.5,1070.1714660121838,1145266.9666666666,1680.0
2017-03-21 00:00:54.577,duration_(secs),2356.0,7,4585.0,1680.0,2076.0,996.2673670589971,992548.6666666666,1680.0
2017-03-21 00:00:54.577,duration_(secs),2399.0,8,4585.0,1680.0,2084.5,930.3483218666007,865548.0,1680.0
2017-03-21 00:01:06.346,duration_(secs),2542.8888888888887,9,4585.0,1680.0,2093.0,971.43739433435,943690.6111111112,1680.0
2017-03-21 00:01:06.346,duration_(secs),2523.2,10,4585.0,1680.0,2139.0,917.9938029323631,842712.6222222224,1680.0
2017-03-21 00:01:49.302,duration_(secs),2693.181818181818,11,4585.0,1680.0,2185.0,1037.4359564023043,1076273.3636363638,1680.0
2017-03-21 00:01:49.302,duration_(secs),2594.9166666666665,12,4585.0,1514.0,2139.0,1046.0892938014713,1094302.8106060608,1514.0
2017-03-21 00:02:02.026,duration_(secs),2718.4615384615386,13,4585.0,1514.0,2185.0,1096.1451862006097,1201534.2692307692,1514.0
2017-03-21 00:02:02.026,duration_(secs),2632.714285714286,14,4585.0,1514.0,2139.0,1100.9290781720842,1212044.8351648352,1514.0
2017-03-21 00:02:07.028,duration_(secs),2776.6666666666665,15,4792.0,1514.0,2185.0,1198.4592290977296,1436304.523809524,1514.0
2017-03-21 00:02:07.028,duration_(secs),2908.8125,16,4891.0,1514.0,2265.5,1272.7730469988226,1619951.2291666667,1514.0
2017-03-21 00:01:06.554,duration_(secs),2952.470588235294,17,4891.0,1514.0,2346.0,1245.4343678837045,1551106.7647058824,1514.0
2017-03-21 00:01:06.554,duration_(secs),2969.222222222222,18,4891.0,1514.0,2523.0,1210.337267315848,1464916.3006535945,1514.0
2017-03-21 00:03:02.654,duration_(secs),3029.4210526315787,19,4891.0,1514.0,2700.0,1205.1498438778601,1452386.1461988306,1514.0
2017-03-21 00:03:02.654,duration_(secs),3109.85,20,4891.0,1514.0,2977.0,1226.9152707416056,1505321.0815789474,1514.0
2017-03-21 00:03:10.664,duration_(secs),3112.904761904762,21,4891.0,1514.0,3174.0,1195.9310140957923,1430250.99047619,1514.0
2017-03-21 00:03:10.664,duration_(secs),3141.318181818182,22,4891.0,1514.0,3214.0,1174.6935319220047,1379904.893939394,1514.0
2017-03-21 00:00:22.271,duration_(secs),3165.8695652173915,23,4891.0,1514.0,3254.0,1153.7095232473469,1331045.6640316206,1514.0
2017-03-21 00:00:22.271,duration_(secs),3211.0,24,4891.0,1514.0,3452.5,1149.8070537570925,1322056.2608695652,1514.0
2017-03-21 00:04:33.992,duration_(secs),3258.8,25,4891.0,1514.0,3651.0,1150.6917846814295,1324091.5833333333,1514.0
2017-03-21 00:04:33.992,duration_(secs),3215.8846153846152,26,4891.0,1514.0,3452.5,1148.4828715108667,1319012.906153846,1514.0
2017-03-21 00:01:25.380,duration_(secs),3241.296296296296,27,4891.0,1514.0,3651.0,1133.8946096330938,1285716.9857549858,1514.0
2017-03-21 00:01:25.380,duration_(secs),3261.0,28,4891.0,1514.0,3672.5,1117.5725678650333,1248968.4444444445,1514.0
2017-03-21 00:01:40.215,duration_(secs),3204.9310344827586,29,4891.0,1514.0,3651.0,1138.2137613394345,1295530.566502463,1514.0
2017-03-21 00:01:40.215,duration_(secs),3216.3,30,4891.0,1514.0,3598.5,1120.1494096771198,1254734.7,1514.0
2017-03-21 00:01:40.216,duration_(secs),3204.2903225806454,31,4891.0,1514.0,3546.0,1103.3500862841431,1217381.412903226,1514.0
2017-03-21 00:01:40.216,duration_(secs),3163.125,32,4891.0,1514.0,3400.0,1110.1070785318198,1232337.7258064516,1514.0
2017-03-21 00:01:40.244,duration_(secs),3171.3939393939395,33,4891.0,1514.0,3436.0,1093.6560513763554,1196083.5587121213,1514.0
2017-03-21 00:01:40.244,duration_(secs),3136.9117647058824,34,4891.0,1514.0,3345.0,1095.5661983690957,1200265.2950089124,1514.0
2017-03-21 00:01:40.244,duration_(secs),3183.2,35,4891.0,1514.0,3436.0,1113.532397373332,1239954.4000000001,1514.0
2017-03-21 00:01:40.244,duration_(secs),3184.777777777778,36,4891.0,1514.0,3345.0,1097.5503401695748,1204616.7492063493,1514.0
2017-03-21 00:01:40.552,duration_(secs),3230.108108108108,37,4891.0,1514.0,3436.0,1116.774019311969,1247184.21021021,1514.0
2017-03-21 00:01:40.552,duration_(secs),3208.7368421052633,38,4891.0,1514.0,3345.0,1109.4288202740286,1230832.307254623,1514.0
2017-03-21 00:01:40.552,duration_(secs),3175.4358974358975,39,4891.0,1514.0,3254.0,1114.3119613010151,1241691.1470985152,1514.0
2017-03-21 00:01:40.552,duration_(secs),3206.025,40,4891.0,1514.0,3345.0,1116.8171920169457,1247280.6403846154,1514.0
2017-03-21 00:01:40.597,duration_(secs),3211.4146341463415,41,4891.0,1514.0,3427.0,1103.308478522887,1217289.598780488,1514.0
2017-03-21 00:01:40.597,duration_(secs),3210.190476190476,42,4891.0,1514.0,3340.5,1089.7993155621668,1187662.5481997675,1514.0
2017-03-21 00:01:40.606,duration_(secs),3198.8837209302324,43,4891.0,1514.0,3254.0,1079.297042155158,1164882.1052048726,1514.0
2017-03-21 00:01:40.606,duration_(secs),3189.6363636363635,44,4891.0,1514.0,3247.0,1068.4355024207034,1141554.422832981,1514.0
