accessed_date,age,motivo_erro
2017-03-15 00:06:40.209,,valor_nulo
2017-03-15 01:07:43.366,,valor_nulo
2017-03-15 00:17:28.380,,valor_nulo
2017-03-15 00:17:28.380,,valor_nulo
2017-03-15 02:02:33.807,,valor_nulo
2017-03-15 02:02:33.807,,valor_nulo
2017-03-15 02:31:34.291,,valor_nulo
2017-03-15 02:31:34.291,,valor_nulo
2017-03-15 02:42:20.376,,valor_nulo
2017-03-15 02:42:20.376,,valor_nulo
2017-03-15 02:43:24.902,,valor_nulo
2017-03-15 02:43:24.902,,valor_nulo
2017-03-15 02:43:29.153,,valor_nulo
2017-03-15 02:43:29.153,,valor_nulo
2017-03-15 03:05:17.217,,valor_nulo
2017-03-15 03:05:17.217,,valor_nulo
2017-03-15 03:05:18.237,,valor_nulo
2017-03-15 03:05:18.237,,valor_nulo
2017-03-15 04:25:06.258,,valor_nulo
2017-03-15 04:25:06.258,,valor_nulo
2017-03-15 04:33:22.335,,valor_nulo
2017-03-15 04:33:22.335,,valor_nulo
2017-03-15 04:33:22.529,,valor_nulo
2017-03-15 04:33:22.529,,valor_nulo
2017-03-15 05:48:54.270,,valor_nulo
2017-03-15 05:48:54.270,,valor_nulo
2017-03-15 05:51:56.571,,valor_nulo
2017-03-15 05:51:56.571,,valor_nulo
2017-03-15 05:52:03.061,,valor_nulo
2017-03-15 05:52:03.061,,valor_nulo
2017-03-15 06:15:01.819,,valor_nulo
2017-03-15 06:15:01.819,,valor_nulo
2017-03-15 06:22:40.110,,valor_nulo
2017-03-15 06:22:40.110,,valor_nulo
2017-03-15 06:22:41.669,,valor_nulo
2017-03-15 06:22:41.669,,valor_nulo
2017-03-15 06:29:56.641,,valor_nulo
2017-03-15 06:29:56.641,,valor_nulo
2017-03-15 07:23:50.493,,valor_nulo
2017-03-15 07:23:50.493,,valor_nulo
2017-03-15 07:22:37.844,,valor_nulo
2017-03-15 07:22:37.844,,valor_nulo
2017-03-15 07:22:38.980,,valor_nulo
2017-03-15 07:22:38.980,,valor_nulo
2017-03-15 06:28:15.396,,valor_nulo
2017-03-15 06:28:15.396,,valor_nulo
2017-03-15 08:16:10.794,,valor_nulo
2017-03-15 08:16:10.794,,valor_nulo
2017-03-15 08:19:35.562,,valor_nulo
2017-03-15 08:19:35.562,,valor_nulo
2017-03-15 08:14:30.123,,valor_nulo
2017-03-15 08:14:30.123,,valor_nulo
2017-03-15 09:14:41.953,,valor_nulo
2017-03-15 09:14:41.953,,valor_nulo
2017-03-15 09:14:52.732,,valor_nulo
2017-03-15 09:14:52.732,,valor_nulo
2017-03-15 09:28:48.390,,valor_nulo
2017-03-15 09:28:48.390,,valor_nulo
2017-03-15 09:47:18.214,,valor_nulo
2017-03-15 09:47:18.214,,valor_nulo
2017-03-15 09:47:48.076,,valor_nulo
2017-03-15 09:47:48.076,,valor_nulo
2017-03-15 10:01:52.484,,valor_nulo
2017-03-15 10:01:52.484,,valor_nulo
2017-03-15 10:02:02.309,,valor_nulo
2017-03-15 10:02:02.309,,valor_nulo
2017-03-15 10:17:47.951,,valor_nulo
2017-03-15 10:17:47.951,,valor_nulo
2017-03-15 10:32:01.613,,valor_nulo
2017-03-15 10:32:01.613,,valor_nulo
2017-03-15 10:54:24.064,,valor_nulo
2017-03-15 10:54:24.064,,valor_nulo
2017-03-15 11:11:00.266,,valor_nulo
2017-03-15 11:11:00.266,,valor_nulo
2017-03-15 11:22:18.313,,valor_nulo
2017-03-15 11:22:18.313,,valor_nulo
2017-03-15 11:22:19.295,,valor_nulo
2017-03-15 11:22:19.295,,valor_nulo
2017-03-15 10:30:21.120,,valor_nulo
2017-03-15 10:30:21.120,,valor_nulo
2017-03-15 11:29:43.294,,valor_nulo
2017-03-15 11:29:43.294,,valor_nulo
2017-03-15 10:39:38.453,,valor_nulo
2017-03-15 10:39:38.453,,valor_nulo
2017-03-15 11:53:43.888,,valor_nulo
2017-03-15 11:53:43.888,,valor_nulo
2017-03-15 12:10:04.619,,valor_nulo
2017-03-15 12:10:04.619,,valor_nulo
2017-03-15 12:20:29.574,,valor_nulo
2017-03-15 12:20:29.574,,valor_nulo
2017-03-15 12:20:31.286,,valor_nulo
2017-03-15 12:20:31.286,,valor_nulo
2017-03-15 12:31:52.709,,valor_nulo
2017-03-15 12:31:52.709,,valor_nulo
2017-03-15 12:44:36.563,,valor_nulo
2017-03-15 12:44:36.563,,valor_nulo
2017-03-15 12:47:25.138,,valor_nulo
2017-03-15 12:47:25.138,,valor_nulo
2017-03-15 12:47:25.138,,valor_nulo
2017-03-15 12:47:25.138,,valor_nulo
2017-03-15 12:44:36.855,,valor_nulo
2017-03-15 12:44:36.855,,valor_nulo
2017-03-15 13:21:23.680,,valor_nulo
2017-03-15 13:21:23.680,,valor_nulo
2017-03-15 13:21:24.702,,valor_nulo
2017-03-15 13:21:24.702,,valor_nulo
2017-03-15 13:31:24.772,,valor_nulo
2017-03-15 13:31:24.772,,valor_nulo
2017-03-15 13:31:25.833,,valor_nulo
2017-03-15 13:31:25.833,,valor_nulo
2017-03-15 12:49:48.642,,valor_nulo
2017-03-15 12:49:48.642,,valor_nulo
2017-03-15 12:49:49.259,,valor_nulo
2017-03-15 12:49:49.259,,valor_nulo
